City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,grand forks,US,2022-07-05 04:00:21,47.9417,-97.4337,69.73,94,100,6.91,overcast clouds,0.0,0
1,muli,MV,2022-07-05 04:02:39,2.9167,73.5667,82.89,75,86,10.0,overcast clouds,0.0,0
2,guerrero negro,MX,2022-07-05 03:59:06,27.9769,-114.0611,65.41,82,0,19.44,clear sky,0.0,0
3,sturgeon bay,US,2022-07-05 03:57:44,44.8342,-87.377,66.18,100,100,4.61,overcast clouds,0.0,0
4,albany,US,2022-07-05 03:58:03,42.6001,-73.9662,65.73,74,89,3.06,overcast clouds,0.0,0
5,vaini,TO,2022-07-05 04:02:39,-21.2,-175.2,72.91,71,100,25.99,overcast clouds,0.0,0
6,cape town,ZA,2022-07-05 04:02:40,-33.9258,18.4232,55.9,79,0,11.01,clear sky,0.0,0
7,faanui,PF,2022-07-05 04:02:40,-16.4833,-151.75,79.07,73,40,9.42,light rain,0.0,0
8,lorengau,PG,2022-07-05 04:02:41,-2.0226,147.2712,85.21,68,64,6.4,broken clouds,0.0,0
9,severo-kurilsk,RU,2022-07-05 04:02:41,50.6789,156.125,55.98,74,85,12.35,overcast clouds,0.0,0
10,clyde river,CA,2022-07-05 04:02:42,70.4692,-68.5914,35.83,93,100,17.27,overcast clouds,0.0,0
11,airai,TL,2022-07-05 04:02:42,-8.9266,125.4092,63.63,78,99,3.38,overcast clouds,0.0,0
12,tiksi,RU,2022-07-05 04:02:42,71.6872,128.8694,39.11,87,100,22.88,overcast clouds,0.0,0
13,namibe,AO,2022-07-05 04:02:43,-15.1961,12.1522,62.76,71,0,9.64,clear sky,0.0,0
14,rikitea,PF,2022-07-05 04:02:43,-23.1203,-134.9692,75.15,73,5,8.5,clear sky,0.0,0
15,puerto ayora,EC,2022-07-05 04:02:44,-0.7393,-90.3518,71.55,89,60,7.0,broken clouds,0.0,0
16,makokou,GA,2022-07-05 04:02:44,0.5738,12.8642,68.09,97,77,2.82,broken clouds,0.0,0
17,sisophon,KH,2022-07-05 04:02:45,13.5859,102.9737,86.61,70,100,9.06,overcast clouds,0.0,0
18,punta arenas,CL,2022-07-05 04:00:16,-53.15,-70.9167,34.05,80,100,4.36,overcast clouds,0.0,0
19,georgetown,MY,2022-07-05 03:59:51,5.4112,100.3354,85.93,78,40,3.44,scattered clouds,0.0,0
20,mataura,NZ,2022-07-05 04:02:45,-46.1927,168.8643,53.47,67,34,10.89,scattered clouds,0.0,0
21,hermanus,ZA,2022-07-05 04:02:46,-34.4187,19.2345,50.56,79,0,5.7,clear sky,0.0,0
22,rovaniemi,FI,2022-07-05 04:01:48,66.5,25.7167,63.81,67,0,10.36,clear sky,0.0,0
23,ushuaia,AR,2022-07-05 03:58:15,-54.8,-68.3,31.66,80,0,10.36,clear sky,0.0,0
24,chokurdakh,RU,2022-07-05 04:02:47,70.6333,147.9167,81.16,38,99,13.96,overcast clouds,0.0,0
25,jhargram,IN,2022-07-05 04:02:47,22.45,86.9833,90.68,58,24,8.1,few clouds,0.0,0
26,fare,PF,2022-07-05 04:02:47,-16.7,-151.0167,79.2,74,31,11.32,scattered clouds,0.0,0
27,ahipara,NZ,2022-07-05 04:02:48,-35.1667,173.1667,59.43,95,100,13.69,light rain,0.0,0
28,atuona,PF,2022-07-05 04:02:48,-9.8,-139.0333,77.9,74,7,24.45,clear sky,0.0,0
29,thinadhoo,MV,2022-07-05 04:02:48,0.5333,72.9333,81.91,73,24,2.89,few clouds,0.0,0
30,karpathos,GR,2022-07-05 04:02:49,35.507,27.2132,73.36,83,0,26.46,clear sky,0.0,0
31,cockburn town,TC,2022-07-05 04:02:50,21.4612,-71.1419,81.37,84,30,19.06,scattered clouds,0.0,0
32,torquay,GB,2022-07-05 04:02:50,50.4638,-3.5143,52.57,92,2,4.0,clear sky,0.0,0
33,kodiak,US,2022-07-05 03:59:51,57.79,-152.4072,56.77,84,91,3.51,overcast clouds,0.0,0
34,bluff,NZ,2022-07-05 04:02:51,-46.6,168.3333,53.8,74,77,36.95,broken clouds,0.0,0
35,umea,SE,2022-07-05 04:02:51,63.8284,20.2597,64.33,88,40,5.75,scattered clouds,0.0,0
36,nikolskoye,RU,2022-07-05 04:02:52,59.7035,30.7861,64.29,96,97,2.33,overcast clouds,0.0,0
37,san pedro de macoris,DO,2022-07-05 04:02:52,18.4616,-69.2972,75.33,92,32,7.49,scattered clouds,0.0,0
38,yellowknife,CA,2022-07-05 04:02:53,62.456,-114.3525,61.2,49,6,4.85,clear sky,0.0,0
39,hasaki,JP,2022-07-05 04:02:53,35.7333,140.8333,90.28,72,100,22.41,overcast clouds,0.0,0
40,caucaia,BR,2022-07-05 03:58:04,-3.7361,-38.6531,76.95,81,40,4.61,scattered clouds,0.0,0
41,yabrud,SY,2022-07-05 04:02:54,33.9674,36.6574,69.71,40,0,1.34,clear sky,0.0,0
42,mahebourg,MU,2022-07-05 04:01:28,-20.4081,57.7,71.26,74,96,16.73,light rain,0.0,0
43,paamiut,GL,2022-07-05 04:02:54,61.994,-49.6678,42.22,91,100,6.04,overcast clouds,0.0,0
44,lompoc,US,2022-07-05 04:02:55,34.6391,-120.4579,64.02,87,100,18.99,overcast clouds,0.0,0
45,mumford,GH,2022-07-05 04:02:55,5.2618,-0.759,74.07,90,82,6.49,light rain,0.0,0
46,kontagora,NG,2022-07-05 04:02:55,10.3999,5.4695,70.79,94,98,5.1,light rain,0.0,0
47,tasiilaq,GL,2022-07-05 04:02:56,65.6145,-37.6368,41.16,85,90,6.26,overcast clouds,0.0,0
