City_ID,City,Coounty,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,mount gambier,AU,2022-07-04 04:11:08,-37.8333,140.7667,58.75,64,81,8.86
1,bajil,YE,2022-07-04 04:11:08,15.0584,43.2851,85.51,67,51,7.09
2,busselton,AU,2022-07-04 04:11:09,-33.65,115.3333,62.58,56,0,22.39
3,carnarvon,AU,2022-07-04 04:11:09,-24.8667,113.6333,67.84,27,0,16.8
4,belaya kholunitsa,RU,2022-07-04 04:11:10,58.84,50.8528,56.35,63,83,8.77
5,rikitea,PF,2022-07-04 04:11:10,-23.1203,-134.9692,75.22,71,1,14.81
6,saint-philippe,RE,2022-07-04 04:11:11,-21.3585,55.7679,69.39,71,72,15.23
7,new norfolk,AU,2022-07-04 04:11:11,-42.7826,147.0587,58.5,74,77,4.0
8,esperance,AU,2022-07-04 04:08:40,-33.8667,121.9,59.77,48,0,15.08
9,east london,ZA,2022-07-04 04:11:12,-33.0153,27.9116,61.97,84,100,5.3
10,kumbo,CM,2022-07-04 04:11:12,6.2,10.6667,58.12,94,100,0.63
11,sorland,NO,2022-07-04 04:11:12,67.667,12.6934,55.26,86,100,11.27
12,cherskiy,RU,2022-07-04 04:11:13,68.75,161.3,61.79,52,90,2.59
13,mataura,NZ,2022-07-04 04:11:13,-46.1927,168.8643,54.48,66,2,6.91
14,punta arenas,CL,2022-07-04 04:11:14,-53.15,-70.9167,32.11,86,75,6.91
15,upernavik,GL,2022-07-04 04:11:14,72.7868,-56.1549,36.97,86,40,12.06
16,kiama,AU,2022-07-04 04:11:14,-34.6833,150.8667,62.01,95,100,5.01
17,dikson,RU,2022-07-04 04:11:15,73.5069,80.5464,32.7,97,100,5.59
18,provideniya,RU,2022-07-04 04:11:15,64.3833,-173.3,46.51,93,100,11.01
19,albany,US,2022-07-04 04:09:01,42.6001,-73.9662,61.34,75,2,5.32
20,fortuna,US,2022-07-04 04:11:16,40.5982,-124.1573,57.09,88,100,0.36
21,tabas,IR,2022-07-04 04:11:17,33.5959,56.9244,90.64,25,9,4.38
22,tomatlan,MX,2022-07-04 04:11:17,19.9333,-105.25,76.77,88,62,1.61
23,tuatapere,NZ,2022-07-04 04:11:18,-46.1333,167.6833,51.21,72,42,5.66
24,mustasaari,FI,2022-07-04 04:10:55,63.1142,21.6822,62.89,82,0,4.61
25,tuktoyaktuk,CA,2022-07-04 04:11:19,69.4541,-133.0374,63.39,49,10,7.87
26,georgetown,MY,2022-07-04 04:06:36,5.4112,100.3354,89.89,60,20,6.91
27,calvinia,ZA,2022-07-04 04:11:20,-31.4707,19.776,40.87,80,0,5.44
28,khargone,IN,2022-07-04 04:11:21,21.8167,75.6,79.9,80,100,8.19
29,goderich,CA,2022-07-04 04:11:21,43.7501,-81.7165,62.91,72,1,7.27
30,san cristobal,VE,2022-07-04 04:11:22,7.7669,-72.225,75.38,98,80,4.0
31,luderitz,NA,2022-07-04 04:11:22,-26.6481,15.1594,55.26,75,0,7.25
32,kavaratti,IN,2022-07-04 04:11:22,10.5669,72.642,81.99,79,100,19.71
33,kushiro,JP,2022-07-04 04:11:23,42.975,144.3747,70.16,91,100,7.72
34,hithadhoo,MV,2022-07-04 04:11:23,-0.6,73.0833,83.05,74,100,7.72
35,ola,RU,2022-07-04 04:11:24,59.5833,151.2833,77.14,67,100,2.19
36,vaini,TO,2022-07-04 04:11:25,-21.2,-175.2,73.56,88,75,8.05
37,victoria,HK,2022-07-04 04:08:38,22.2855,114.1577,84.96,86,100,21.0
38,yuanping,CN,2022-07-04 04:11:25,38.7153,112.7575,85.15,52,17,5.21
39,ushuaia,AR,2022-07-04 04:10:50,-54.8,-68.3,33.46,80,40,3.44
40,arraial do cabo,BR,2022-07-04 04:11:26,-22.9661,-42.0278,70.02,87,0,21.61
41,ak-dovurak,RU,2022-07-04 04:11:27,51.1833,90.6,67.08,43,1,1.7
42,andenes,NO,2022-07-04 04:11:27,69.3143,16.1194,58.98,72,40,10.36
43,atuona,PF,2022-07-04 04:11:28,-9.8,-139.0333,77.68,73,7,22.39
44,mahibadhoo,MV,2022-07-04 04:11:29,3.7833,72.9667,83.03,75,100,13.42
45,sivas,TR,2022-07-04 04:11:29,39.7916,37.0019,50.63,71,0,3.44
46,rexburg,US,2022-07-04 04:11:29,43.826,-111.7897,73.38,56,0,0.0
47,ballina,AU,2022-07-04 04:11:30,-28.8667,153.5667,59.02,75,100,2.35
48,mar del plata,AR,2022-07-04 04:09:11,-38.0023,-57.5575,47.08,62,100,1.99
49,bethel,US,2022-07-04 04:08:34,41.3712,-73.414,71.96,75,0,5.75
50,chokurdakh,RU,2022-07-04 04:11:31,70.6333,147.9167,59.29,75,100,11.21
51,inta,RU,2022-07-04 04:11:31,66.0317,60.1659,55.78,58,94,4.12
52,aras,ES,2022-07-04 04:11:32,42.5617,-2.356,59.41,77,100,8.05
53,husavik,IS,2022-07-04 04:11:32,66.0449,-17.3389,40.96,94,100,18.63
54,katsuura,JP,2022-07-04 04:09:20,35.1333,140.3,80.62,79,100,18.7
55,darlowo,PL,2022-07-04 04:11:33,54.421,16.4107,61.86,80,88,6.2
56,severo-kurilsk,RU,2022-07-04 04:11:34,50.6789,156.125,52.43,86,60,8.3
57,northam,GB,2022-07-04 04:11:34,51.0333,-4.2167,56.25,88,87,8.57
58,butaritari,KI,2022-07-04 04:11:35,3.0707,172.7902,81.01,78,100,19.57
59,nizwa,OM,2022-07-04 04:11:35,22.9333,57.5333,90.64,44,100,1.59
60,leshukonskoye,RU,2022-07-04 04:11:36,64.8989,45.7622,66.02,44,35,3.76
61,iqaluit,CA,2022-07-04 04:11:36,63.7506,-68.5145,45.7,75,100,8.01
62,norman wells,CA,2022-07-04 04:11:37,65.282,-126.8329,80.02,33,10,14.07
63,hilo,US,2022-07-04 04:11:37,19.7297,-155.09,81.28,84,20,4.61
64,tomakomai,JP,2022-07-04 04:11:38,42.6369,141.6033,83.17,69,75,17.27
65,hobart,AU,2022-07-04 04:08:47,-42.8794,147.3294,58.86,65,75,9.22
66,puerto penasco,MX,2022-07-04 04:11:38,31.3167,-113.5333,84.9,81,44,14.0
67,kodiak,US,2022-07-04 04:11:29,57.79,-152.4072,54.91,94,100,6.91
68,kenai,US,2022-07-04 04:11:39,60.5544,-151.2583,63.03,81,0,13.8
69,leningradskiy,RU,2022-07-04 04:11:39,69.3833,178.4167,49.15,69,88,7.56
70,cape town,ZA,2022-07-04 04:06:52,-33.9258,18.4232,57.38,88,4,4.0
71,ostrovnoy,RU,2022-07-04 04:11:40,68.0531,39.5131,66.52,67,86,15.12
72,vostok,RU,2022-07-04 04:11:41,46.4856,135.8833,72.81,82,100,1.7
73,nemuro,JP,2022-07-04 04:11:41,43.3236,145.575,59.83,96,95,8.12
74,kaitangata,NZ,2022-07-04 04:11:42,-46.2817,169.8464,51.8,59,0,10.69
75,namibe,AO,2022-07-04 04:11:42,-15.1961,12.1522,63.52,75,0,9.06
76,narsaq,GL,2022-07-04 04:11:43,60.9167,-46.05,50.22,84,100,2.53
77,kapaa,US,2022-07-04 04:11:43,22.0752,-159.319,82.38,78,100,17.27
78,moree,AU,2022-07-04 04:11:44,-29.4667,149.85,51.82,76,100,6.91
79,natal,BR,2022-07-04 04:11:44,-5.795,-35.2094,72.25,100,100,4.61
80,bonfim,BR,2022-07-04 04:11:44,3.0833,-59.95,78.26,76,98,3.78
81,san policarpo,PH,2022-07-04 04:11:45,12.1791,125.5072,85.12,61,93,3.18
82,puerto ayora,EC,2022-07-04 04:11:45,-0.7393,-90.3518,69.55,92,59,6.49
83,hermanus,ZA,2022-07-04 04:11:46,-34.4187,19.2345,52.09,80,3,6.93
84,lukh,RU,2022-07-04 04:11:46,57.0124,42.2584,63.23,74,9,4.16
85,hasaki,JP,2022-07-04 04:11:47,35.7333,140.8333,86.29,75,100,10.87
86,barrow,US,2022-07-04 04:11:47,71.2906,-156.7887,42.82,81,20,10.36
87,sitka,US,2022-07-04 04:11:48,57.0531,-135.33,64.29,72,0,10.36
88,acarau,BR,2022-07-04 04:11:49,-2.8856,-40.12,77.18,78,78,14.58
89,college,US,2022-07-04 04:11:49,64.8569,-147.8028,74.59,53,75,12.66
90,imbituba,BR,2022-07-04 04:11:50,-28.24,-48.6703,67.86,99,75,2.51
91,thompson,CA,2022-07-04 04:11:50,55.7435,-97.8558,51.96,95,39,4.59
92,klaksvik,FO,2022-07-04 04:11:51,62.2266,-6.589,47.32,82,99,19.91
93,tasiilaq,GL,2022-07-04 04:11:51,65.6145,-37.6368,35.58,84,45,3.44
94,vila franca do campo,PT,2022-07-04 04:11:52,37.7167,-25.4333,67.19,72,61,7.72
95,somova,RO,2022-07-04 04:11:52,45.1833,28.6667,70.25,46,75,2.3
96,bluff,NZ,2022-07-04 04:11:53,-46.6,168.3333,54.81,68,40,23.33
97,ndele,CF,2022-07-04 04:11:53,8.4109,20.6473,70.57,85,98,2.98
98,yellowknife,CA,2022-07-04 04:11:54,62.456,-114.3525,62.56,45,34,3.96
99,jamestown,US,2022-07-04 04:09:04,42.097,-79.2353,62.24,74,0,3.44
100,alta floresta,BR,2022-07-04 04:11:55,-9.8756,-56.0861,73.8,62,48,3.15
101,saint-pierre,RE,2022-07-04 04:11:55,-21.3393,55.4781,70.92,72,20,17.27
102,port lincoln,AU,2022-07-04 04:11:56,-34.7333,135.8667,57.99,59,87,10.67
103,avarua,CK,2022-07-04 04:11:56,-21.2078,-159.775,77.05,65,21,3.44
104,ahome,MX,2022-07-04 04:11:57,25.9167,-109.1833,83.16,73,4,2.98
105,agadez,NE,2022-07-04 04:11:57,19.75,10.25,83.41,12,0,7.87
106,alyangula,AU,2022-07-04 04:11:58,-13.8483,136.4192,71.38,58,17,19.95
107,bredasdorp,ZA,2022-07-04 04:11:58,-34.5322,20.0403,45.7,88,0,4.72
108,esso,RU,2022-07-04 04:11:59,55.9333,158.7,57.49,69,94,7.99
109,vila,PT,2022-07-04 04:12:00,42.0304,-8.1588,55.71,91,41,4.25
110,bardiyah,LY,2022-07-04 04:12:00,31.7561,25.0865,75.49,84,0,8.52
111,clyde river,CA,2022-07-04 04:12:00,70.4692,-68.5914,41.72,75,10,4.47
112,ribeira grande,PT,2022-07-04 04:12:01,38.5167,-28.7,65.28,70,63,5.93
113,zemio,CF,2022-07-04 04:12:02,5.0314,25.1361,64.47,95,53,0.72
114,port-cartier,CA,2022-07-04 04:12:02,50.0334,-66.8654,54.75,77,5,12.57
115,karnobat,BG,2022-07-04 04:12:03,42.65,26.9833,58.84,45,1,1.61
116,inhambane,MZ,2022-07-04 04:10:17,-23.865,35.3833,65.14,87,0,4.14
117,inyonga,TZ,2022-07-04 04:12:03,-6.7167,32.0667,52.52,70,0,4.61
